primary_subject,complaint_narrative,scam_type,website
avtocoin.com,"A Californian resident reports on their experience with a crypto asset trading site operating at avtocoin.com.  The resident transferred over $6,000 to the site to trade cryptocurrency.  When the resident tried to withdraw their money, the platform said their account was suspended for 30 days due to “suspicious activity”.  The resident has been unable to recover any of their money, and the site is no longer operational.",Fraudulent Trading Platform,avtocoin.com
Eagle Crest Asset Management,"Multiple California residents reported participating in a wealth management course offered by Eagle Crest Asset Management (ECAM), led by an individual identified as “Ridel.” The course focused on stocks and crypto assets trading. The residentswere instructed to open accounts on the crypto asset trading platform operating at OK-Coin (ok-coin.com), QamCoin.com, and Coin-Rush.com.ECAM provided investors with $500 to begin trading. The residents opened accounts and believed they were making profits trading this initial amount. Encouraged by these results, the residents invested their own money and again appeared to earn substantial returns. But when they tried to withdraw funds, the platform demanded commissions taxes, or fees ranging from 8% to 15% of the value of the account. Despite paying these fees, none of the individuals have been able to recover their investments, and none of the associated websites are currently operational.",Fraudulent Trading PlatformPig Butchering Scam,ok-coin.comQamCoin.comCoin-Rush.com
crypen.com,"Multiple California residents report on their experience with a fraudulent crytocurrency trading platform at crypen.com. The residents report joining a WhatsApp group named “Techcrisis Investment Guild.” The group recommended the residents to invest in “TGD” tokens on the platform. Following the group's recommendation, the residents created a crypen.com account and invested funds to purchase “TGD” tokens. However, when the residents attempted to withdraw funds from the platform, their requests were denied unless they paid a ""fee."" The residents have not recovered their funds. Crypen.com is no longer operational.",Fraudulent Trading Platform,crypen.com
defiwa11etbch.comdefie-v2.com,"A California resident reports they were approached online by “Melissa” who steered the conversation over to WhatsApp. Melissa claimed to have inherited crypto assets, which she used to support various non-profit organizations. Melissa offered to help the resident invest in crypto assets and showed the resident how to open an account on the crypto asset trading platform operating at https://www.defiwa11etbch.com and https://defie-v2.com. Melissa then provided the resident trading signals to make short term trades, saying she could predict the market. The resident traded based on Melissa's signals on the platform for a few weeks, but when the resident tried to withdraw funds from the platform, they were unable to do so. Then, Melissa cut off all communications. The resident has been unable to recover their funds, and the websites are no longer operational. All told, the resident lost $700,000 on the platform.",Fraudulent Trading PlatformRomance Scam,defiwa11etbch.comdefie-v2.com
lbmaex.xyz,"A California resident reports that they met an individual on Instagram. The individual presented themselves as a young millionaire that resided in New York. The individual convinced the resident to register for a website called “LBMA” to trade“gold spots”. The individual then taught the resident how to transfer cryptocurrency to a fraudulent crypto asset tradingplatform operating at lbmaex.xyz (LBMA).  The resident followed those instructions, and after each transfer to lbmaex.xyz, the individual would “match” the resident’s deposits to increase the resident's trading capacity. In addition, the individual persuaded the resident to liquidate their retirement accounts to invest on lbmaex.xyz. After their largest deposit, the resident attempted to withdraw their funds from the platform, but the platform informed the resident that they could not do so without paying “taxes”. The resident has not paid the “taxes” and has not recovered their funds. lbmaex.xyz is not operational as of the time this narrative is published.",Fraudulent Trading PlatformRomance Scam,lbmaex.xyz
rwanexus.io,"A California resident reports being approached on WhatsApp by “Yuxuan”, who introduced the resident to the crypto asset trading platform, RWA Nexus, operating at http://rwanexus.io/ as a way to earn profits through crypto asset trading. Yuxuan showed the resident how to open an account to trade crypto assets for profit and begin trading. Over the course of a few weeks, Yuxuan encouraged the resident to deposit more money onto the platform. But when the resident tried to withdraw funds, the platform said that their account had been flagged for suspicious activity and would be frozen unless they paid 5% of value of their account to cover an “audit fee”. The resident paid, but the platform demanded that they pay another 5% fee to recover their assets. The resident has been unable to recover their funds, and the website is no longer operational. All told, the resident lost at least $300,000.",Fraudulent Trading PlatformPig Butchering Scam,rwanexus.io
Oaktree-ex.com,"A California resident reports joining a group online called “CO6 Dr. Johnson’s Investment Education Institute.” The resident reports that the group provided information on trading cryptocurrency and provided different trading signals to trade cryptocurrency. The group instructed the resident to open an account on the crypto asset trading platform operating at oaktree-ex.com. The group encouraged the resident to put more money on the platform to make more profits, and the account indeed appeared to grow. But when the resident tried to withdraw some funds, the platform demanded they pay a “fee” to a charity. The resident paid the fee but has not been able to withdraw their funds. All told, the resident lost at least $40,000 and the website is no longer operational.",Fraudulent Trading PlatformInvestment Group Scam,Oaktree-ex.com
fastscryptoteam.com,"A California resident reports being contacted by an individual online who expressed interest in forming a relationship, but insisted they couldn’t meet until the resident had enough money. The individual then persuaded the resident to open an account on the crypto asset trading platform operating at fastcryptoteam.com. The resident did so and began trading and was even able to withdraw a small amount from the platform. After investing cryptocurrency onto the platform, the resident traced the Bitcoin wallet address where they sent funds, and discovered that the wallet address was not under their control. $30,000 of cryptocurrnecy was then transferred out from the address where the resident transferred cryptocurrency initially to another wallet address not under the resident's control.  The website is no longer operational as of the time this narrative is published.",Fraudulent Trading PlatformRomance Scam,fastscryptoteam.com
Fortress AI Train,"A California resident was invited to join an online crypto asset trading groupnamed ""Fortress AI Train"" on WhatsApp. The group instructed the resident to open an account on the crypto asset trading platform operating at cryptoaiml.vip. The resident opened an account and deposited funds. Then the resident was encouraged to invest more funds to join the “VIP” group. The resident invested funds to join the “VIP” group, but the platform sent an email stating that they received a lawsuit from a governmental regulatory agency alleging that the resident’s account was suspected of “malicious market manipulation” and demanded a “fine”. The resident paid the fine but the platform then demanded more fees. The resident has been unable to withdraw their funds and the website is no longer operational. All told, the resident lost more than $30,000.",Fraudulent Trading PlatformInvestment Group Scam,cryptoaiml.vip
twaaos.com,"A California resident reports they were approached through a communication app by an individual who convinced them to open an account on the crypto asset trading platform operating at twaaos.com. The resident did so and made some small trades, and was even were able to withdraw some of their funds. Encouraged, the resident invested more money on the platform. But when the resident tried to withdraw a larger amount, the platform told the resident that their funds were locked and demanded they pay “mining fees” of 10% of the transaction. The resident did not pay the “mining fees” and has not been able to withdraw their funds.  The website is no longer operational.",Fraudulent Trading Platform,twaaos.com
dconchain.net,"A California resident reports that an individual they met online showed them how to invest on the crypto asset trading platform operating at dconchain.net. The resident did so, but when they tried to withdraw some funds, their request was denied and the platform demanded they pay a tax. The resident paid, but the platform claimed it had placed them in a queue of 83,000 people and to bypass the queue, they would have to pay an additional $8,000. The resident did not pay and has been unable to recover their funds from the platform.  The website is no longer operational.",Fraudulent Trading PlatformPig Butchering Scam,dconchain.net
jgyfgroup.co,"A California resident reports learning about the crypto asset trading platform operating at jgfygroup.co through a WhatsApp Group. The group instructed the resident to open an account on the platform and let “Bill” to manage it. The resident believed that Bill was making profits for them through crypto assets trading, but when they tried to withdraw some funds, their request was denied and “Bill” demanded a “service fee” before releasing the funds. The resident paid, but “Bill” demanded the resident to pay an additional $15,000 to comply with Know Your Customer (KYC) rules. Again the resident paid but still could not withdraw their funds. The resident has been unable to recover any of their funds from the platform and the website is no longer operational.",Fraudulent Trading PlatformPig Butchering Scam,jgyfgroup.co
btcschg.com,"A California resident reports on their experience with a crypto asset trading platform operating at btcschg.com. The resident joined a Whatsapp group named ""BTCS"" and the group encouraged the resident to open an account on the crypto asset trading platform at btcschg.com. The resident opened an account and invested funds based on the group's representation that it would provide trading signals to them and other group members.  Following the initial deposit, the group told the resident they needed to transfer more funds onto the platform to earn more rewards. The resident transferred as much additional funding as they could to the platform; however, the group informed the resident that they should contribute even more and offered to loan them the money.At some point, the group demanded that the resident pay the loan back. The resident has been unable to recover any of their money from the platform and the website is no longer operational.",Fraudulent Trading PlatformInvestment Group Scam,btcschg.com
accgn.club,"A California resident reports about their experience with the online trading platform located at AccGN.club, a site that claimed to use Artifical Intelligence to trade crypto assets. The resident opened an account on the platform, began trading,and was even able to withdraw funds for a period of time. But then the platform blocked their latest withdrawal request. The resident has not been able to recover their remaining funds from the platform, and the website is no longer operational. All told, they lost $2,400 on the platform. The resident reports sending crypto assets to the following wallet address: 0x92275b6cc254b68a6bcc9c76be198264cdabdf94",Fraudulent Trading Platform,accgn.club
iwebcoin.comSBDCCOIN,"A California resident reports being approached by “Amy” on WhatsApp who invited them to join a group chat to learn how to trade crypto assets. Under Amy’s direction, the resident downloaded an app, SBDCCOIN, and was told to follow the trading signals provided by “Professor Andy”. The resident transferred crypto assets to the app and at one point believed their account had grown to more than $1 million. But when they tried to withdraw funds, the platform demanded they pay a 20% tax due to the IRS before releasing the funds. The resident paid the tax to the platform, but then the platform said the funds would only be released if the resident opened another account on the crypto asset trading platform located at www.iwebcoin.com. The resident has been unable to recover their funds and the app and websites are no longer operational. All told, the resident lost at least $180,000.",Fraudulent Trading PlatformPig Butchering Scam,iwebcoin.com
topexs.us,"A California resident reports they were approached online by someone who coached them on how to create an account on the crypto asset trading platform located at Topexs.us. The resident opened an account on the platform, deposited funds, and believed they were generating profits. The resident was also encouraged to take out loans to invest more and did so.  However, when the resident attempted to withdraw funds from the platform, their request was deneid and they were unable to access the funds.   Now, the resident cannot withdraw any of their money from the platform, which is no longer operational. All told the resident lost more than $5 million.",Fraudulent Trading PlatformPig Butchering Scam,topexs.us
ctante.com,"A California reports on the experience with the crypto asset trading platform, Chain Trade LTD, operating at ctante.com. The resident opened an account on the platform and believed they were trading crypto assets, though in fact they were not. But When the resident tried to withdraw funds, the platform’s customer service said the account was frozen. The resident has not been able to recover any funds from the platform and the website is no longer operational.",Fraudulent Trading Platform,ctante.com
milkyway-fx.vip,"A California resident reports they were approached by “Jo Anna” on WhatsApp who claimed to live in Seattle and manage multiple beauty parlors. After some conversation, Jo Anna steered the conversation to trading in crypto assets. Jo Anna directed the resident to open an account on the trading platform, Milky Way Forex, operating at http://milkyway-fx.vip/. Following Jo Anna’s instructions, the resident believed they were making significant profits through options trading with intervals as short as 30 seconds. But then the platform informed the resident that their said the account was frozen due to “insider trading”, and demanded the resident pay a significant fee to unfreeze it. The resident paid, but the platform continued todemand more and more fees. The resident has not been able to withdraw any funds from the platform and the website is no longer operational.  All told, the resident lost more than $340,000 on the platform.",Fraudulent Trading PlatformPig Butchering Scam,milkyway-fx.vip
cry-pthluoos.com (Entity is impersonating Crypto.com),"A California resident reports being approached by “Tonya” on Facebook dating. After starting a relationship, Tonya introduced the resident to investing in crypto and introduced them to the crypto asset options trading platform operating at http://cry-pthluoos.com/. Following Tonya’s instructions, the resident believed they were earning lots of money trading on the platform. But when theresident tried to withdraw funds, the platform demanded them to pay a tax equal to 15% of the account value. The resident paid, but the platform demanded they deposit more money on the platform. The resident has been unable to withdraw any of their funds from the platform and the website is no longer operational.",Fraudulent Trading Platform,cry-pthluoos.com
zesowex.com,"A California resident reports on their experience with an online crypto gambling site operating at http://zesowex.com. The resident sent crypto assets to an account on the website. But when they tried to withdraw funds, the site demanded they deposit additional funds to clear “errors” associated with the account.  The resident paid, but the site demanded more payments. The resident has been unable to recover any of their funds and the website is no longer operational.",Fraudulent Trading Platform,zesowex.com
exponentialstocks.ltd,"A California resident reports that an individual contacted them on WhatsApp claiming to assist in investing and retiring safely. The individual told the resident about a crypto asset  trading platform operating at exponentialstocks.ltd and instructed the resident on how to open an account and invest money there. The resident believed they were making profitable trades, but when they tried to withdraw some funds, the individual  demanded a 10% “fee” before releasing the funds. The resident paid the “fee” but still could not withdraw their money. The individual then told the resident to contact “Jennifer.” “Jennifer” then demanded an additional amount in “fees.” The resident paid but has not received their money back. The website is no longer operational.",Fraudulent Trading Platform,exponentialstocks.ltd
Coggie.comH5.Coggie.vip,"A California resident reports on their experience with the crypto asset trading platforms Coggie.com and H5.Coggie.vip. After being approached by an individual online, the resident invested their retirement funds onto these platforms but now cannot withdraw their funds. The websites are no longer operational.",Fraudulent Trading PlatformPig Butchering Scam,Coggie.comH5.Coggie.vip
Bit Pros bitpros.app,"A California resident reports on their experience with the crypto asset trading platform operating at bitpros.app. The resident believed they were earning profits trading in variouscryptoassets on the platform. But when the resident attempted to withdraw some of their funds, the platform demanded they pay $5,000 in “taxes” on their earnings. The resident paid, but then the platform demanded $2,000 as an “upgrade fee”. Again, the resident paid, but has not been able to recover their money, and the website is no longer operational. All told, the resident lost more $17,000.",Fraudulent Trading Platform,bitpros.app
Onchain Wallet,"MultipleCalifornia residents report on their experience with a crypto asset trading platform called ""Onchain Wallet,"" operating at the websites onchainiy.com, onchain-bit.com, onchainwallet.info, and nad-ex.com.  The residents reportmeetingindividuals on the online dating platform Tinder, where, after establishing trust, the individuals steer the conversation to investing in crypto assets. The individuals introduced the residents to an online cryptocurrency trading platforms named ""Onchain Wallet,"" operating at four different websites at onchainiy.com, onchain-bit.com, onchainwallet.info, and nad-ex.com. Following the individuals’ instructions, the residents opened accounts on these platforms and began trading crypto assets, believing they were making profits. But when the residents tried to withdraw their funds, the platform demanded a fee before releasing the funds.One resident reports being approached through WeChat by a group promoting investment, employment, and commission-based opportunities, who persuaded them to invest crypto assets through the same platform .Ultimately, whether or not they paid the fees, none of the residents have been able to recover their funds, and the websites are no longer operational.",Fraudulent Trading PlatformPig Butchering Scam,onchainiy.comonchain-bit.comonchainwallet.infonad-ex.com
Stack Stash,"A California resident reports on their experience with a crypto asset investment platform, Stack Stash, operating at stackstash.co. The resident deposited over $700 onto the platform.  However, when the resident attempted to withdraw funds from the platform, the platform demanded the resident to deposit additional funds before permitting any withdrawal. The resident has been unable to recover their funds and the websiteis no longer operational.",Fraudulent Trading Platform,http://stackstash.co/
luminobit.com,"A California resident reports investing $15,000 on luminobit.com who marketed themselves as a new ICO, which ceased operations just 10 days later. The resident reports sending cryptocurrency to wallet address: 0x392DcdC7351AFC41cc222557f79518836d9B6CCC. The individual has been unable to recover the funds, and the website is no longer operational.",Rug Pull Scam,luminobit.com
btop chains,"A California resident reports that when attempting to withdraw 150,000 USDCof their own funds from a crypto asset trading platformat btopchains.com, the request was rejected and their account was frozen. The platform then demanded an advance fee equal to 20% of the resident’s total assets to restore their account access. The platform’s domain name was then changed to bkchaintops.com.The resident has not been able to recover any of their funds. The websites are no longer in operation.",Fraudulent Trading Platform,btopchains.com
Cryptomia AI Forex Brain,"A California resident reports opening an account on the online crypto asset trading platform operating at Cryptomia.aiforexbrain.com and deposited funds to trade crypto assets. The resident has not been able to recover any of their investment. The website is no longer in operation. All told, the resident lost at least $20,000 on the platform.",Fraudulent Trading PlatformPig Butchering Scam,cryptomia.aiforexbrain.com
Kine Protocol,"A California consumer reports meeting a person online who introduced them to Kine Protocol, a decentralized crypto exchange, operating at akineprot.vip.The person also claimed they would teach the consumer how to trade cryptocurrency on the platform. The consumer’s initial investments appeared to do well and gradually they increased the amounts invested.Eventually, after appearing to make significant profits, the consumer tried to withdraw funds. But the platform denied the withdrawal and demanded a payment of a “tax” that could not be paid using funds already on the platform. The consumer declined to pay the “tax” and has not recovered any funds. The website is no longer in operation.",Fraudulent Trading PlatformPig Butchering Scam,akineprot.vip
Dusk Digital,"A Californian reports on their experience with the crypto asset trading site Dusk Digital, operating at duskseodigital.com.  The resident transferred $13,000 worth of crypto assets onto the Dusk Digital platform for trading.  However, when they tried to withdraw their funds, their account was frozen, and the site demanded the resident pay an additional $13,000 to unlock their account.  The site is no longer operational.",Fraudulent Trading Platform,duskseodigital.com
BOTE Finance Wealth Academy InstituteGeniZenith,"A Californian resident reports encountering a crypto asset trading group on WhatsApp called BOTE Finance Wealth Academy.  The resident reports that the group maintains a functioning website at botefinanceinstitute.com.The group said they used a crypto asset trading platform called GeniZenith, located at www.genizenith.com. The group told the resident it sent AI crypto trading signals to its members for them to use to execute the trades on GeniZenith.  The resident opened an account on the platform, began trading, and was initially able to withdraw some of their funds.  Based on that success, the resident transferred more money to the platform.   But, when the resident tried to withdraw larger amount, they were unable to do so.  The platform is no longer operational.  All told, the resident lost $120,000.",Fraudulent Trading PlatformInvestment Group Scam,botefinanceinstitute.comwww.genizenith.com
AstraXeaialliance.com,"A California consumer reports using a platform called AstraX, located at https://eaialliance.com, to trade crypto assets after learning about it through a WhatsApp group. The group members instructed the consumer how to engage in “margin” trading and provided trading signals they claimed would enable to consumer to make profitable trades. But, when the platform issued a purportedly fabricated margin call,  the consumer’s balance in their account disappeared.The consumer has not been able to withdraw their funds from the platform, which is no longer operational. All told, the victim lost $5,000.",Fraudulent Trading PlatformSignal Selling Scam,https://eaialliance.com
b2c2-amm.com,"A California resident reports being contacted by an individual online who asked to move the conversation to a messaging platform.  After forming a relationship, the “friend” brought up the topic of investing in crypto assets, and introduced the victim to a crypto asset trading platform located at b2c2-amm.com, saying they could engage in “joint-investing” where the “friend” would match whatever amount the victim invested. After a while the platform told the victim there was a potential “data-breach” and demanded $77,000 to withdraw their funds. Thevictim paid, but the platform demanded an additional $100,000 “investment” to fully withdraw their funds. The victim did not pay and has been unable to withdraw their funds. The website is no longer operational.",Fraudulent Trading PlatformPig Butchering Scam,b2c2-amm.com
sannlt.com,"A California resident reports that after losing some crypto assets they received a letter from an “attorney” who claimed to work for a prominent law firm which could help recover the lost crypto assets.  The “attorney” referred the resident to a “technician” in the firm, who told the resident to deposit some crypto assets into an account so the law firm could ensure that the transaction was not money laundering. The resident deposited the funds, which then disappeared. The resident has not been able to recover any of the lost crypto assets and cannot contact the so-called law firm.The DFPI urges consumers to exercise extreme caution before responding to any solicitation guaranteeing recovery of lost or stolen crypto or offering investment or financial services, especially if they ask you to pay upfront before delivering a product or service or ask you to provide personal information including account information.",Fraudulent Trading Platform,sannlt.com
Lexor Finance,"A California resident reports about their experience with an online crypto asset platform Lexor finance, located at webfinance.io. The resident saw a Facebook ad that claimed to be linked to a well-known CEO and said the platform used AI to help investors. Believing the ad, the resident sent funds to the bitcoin wallet address bc1qch8azpgn4vnykfmp2sqn8tlxw08z2xgk433jep. The victim reports they were not able to withdraw their funds and the website is no longer operational. All told thevictim lost $5,000.",Fraudulent Trading Platform,https://wb.lexorfinance.io/
miycoin.com,"A California resident reports on their experience with fraudulent platform, http://h5.miycoin.com/. The victim reports that they received a WhatsApp message to join a group where the group members would send trading signals. Following the group's instructions, the victim used h5.myicoin.com for cryptocurrency trading.After engaging in multiple trades,  a person named “Professor Ivelyn” on the WhatsApp group demanded the victim to pay a 30% “tax” to the platform. The victim paid the “tax” but could not withdraw their funds without paying additional “taxes.” The website is no longer operational.",Investment Group ScamFraudulent Trading Platform,http://h5.miycoin.com/
owallet.com,"A California resident reports viewing a YouTube videowhich touted a crypto asset trading platform operating at owallet.com for trading. The victim opened an account on owallet.com and transferred some crypto assets to sell there. But when the victim tried to withdraw their funds, the platforms’s customer service rep said their account was frozen and demanded they deposit $25,000 in their owallet account to complete the withdrawal. The victim has been unable to recover their funds and the website is no longer operational.",Fraudulent Trading Platform,http://www.owallet.com/
Global Capitals,"A California resident reports being contacted by a blogger promoting a crypto asset coin. The blogger invited the victim to open an account on the crypto asset trading platform, Global Capitalsat https://app.globalcapitalsgc.com, and convinced the victim to transfer funds into their account to trade for profits. The victim did so, and believed they were making profits trading along with the blogger. But when the victim tried to withdraw their funds the platform denied their request. Then the blogger messaged the victim and told them to send more to the platform which would help with the withdrawal. The victim did so, but was still unable to withdraw their funds. The victim has been unable to recover their funds, and the website is no longer operational.",Fraudulent Trading Platform,https://app.globalcapitalsgc.com
SB Signal Sniper Group,"A California resident reports seeing an ad on Instagram that when clicked on, led them to the Telegram group, “SB Signal Sniper”. The group was led by a “Professor” and “Assistant” who said they would provide trade signals to the group which could be profitable, if they opened an account and traded on the crypto asset trading platform operating at  http://coingrocer.net/. The victim opened an account on the platform, deposited funds, and followed the trading signals, believing they were making profits. But when they tried to withdraw funds, the platform demanded they pay “mining fees”. The victim paid, but the platform requested an additional $3,000 for “computing power”. The victim has been unable to recover any funds and the website is no longer operational. All told, the resident lost at least $6,000 on the platform.",Fraudulent Trading PlatformInvestment Group Scam,http://coingrocer.net/
web3app.rest,"A California resident reports meeting an individual online named ""Aileen"" and beginning a relationship. Aileen told the resident how their aunt was a successful investor that owned properties in France and Croatia. At some point Aileen steered the conversation to investing in crypto assets, and suggested the victim start a “blockchain savings plan” on the crypto asset trading platform located at web3app.rest, claiming she had made money. After investing small amounts of money into the “short term savings plan”, the victim was able to withdraw some of their funds. Encouraged, the victim deposited more money onto the platform. At some point, the victim was asked to deposit $500,000 for “security fees.” The victim refused and now cannot withdraw their funds. The website is no longer operational. All told the victim lost more than $2.5 million on the platform.",Fraudulent Trading PlatformPig Butchering Scam,web3app.rest
goldmarketer.net,"A California resident reports on their experience with the crypto asset trading  platform at goldmarketer.net, which they heard about from someone they met on WhatsApp. Following the WhatsApp friend’s instructions, the victim opened an account on the platform and deposited funds to trade for a profit. But when the victim tried to withdraw their funds, the platform demanded they pay “taxes”. The victim is unable to access their funds and the website is no longer operational.",Fraudulent Trading PlatformPig Butchering Scam,goldmarketer.net
amerany.com/farms,"A California resident reports they met an individual on Tindernamed ""Ting"" and began a relationship. At some point, Tingconvinced the victim to Invest money on the crypto asset staking platform, www.amerany.com/farms. Following Ting's instructions, the victim opened a cold crypto wallet and deposited funds onto the platform. After a while, the victim’s funds were frozen on the platform, and their wallet was banned. The victim has not been able to recover their funds and the website is no longer operational. All told, the victim lost more than $1 million which was their life savings.",Fraudulent Trading PlatformRomance Scam,www.amerany.com/farms
STRADX Strategic derivatives,"A California resident reports joining the “NV Prime Club” online, in order to invest in “STRADX Strategic Derivatives”., located at app.stradxdatalake.com. After a while, the website demanded that the victim to invest additional funds. The victim refused, and the platform froze their money and demanded $105,0000 to release the funds. The victim has not been able to withdraw their funds from the platform, and the platform is no longer operational. The victim lost all their retirement savings on the platform.",Fraudulent Trading PlatformInvestment Group Scam,app.stradxdatalake.com
axioraswap.io,"A California resident reports on their experience with the crypto asset trading platform, AxioraSwap.io, which they tried to use to swap some crypto assets for a different token, but never received the swapped tokens. The resident has been unable to recover their funds and the platform is no longer operational.",Fraudulent Trading PlatformBait and Switch Scam,AxioraSwap.io
official-xai.com(Entity Impersonating xAI),"Two California residents report about their experience with two fraudulent platforms, official-xai.com and https://xai-network.com/home/. The first victim reports that they watched a video that linked to the “xAI token” presale on official-xai.com. The victim reports that they saw a fake video of “Elon Musk” talking about the coin which led them to believe that the offering was legitimate. The victim then initiated a swap for their DOGE coin and put in more than the minimum due to the promise of attractive “bonuses”. After engaging in multiple “successful” transactions with official-xai.com, the victim reports that official-xai.com told the victim they could receive a larger bonus if they made another presale purchase. The victim then transferred USDT and did not receive any coins in return. The website is now defunct. The victim reports sending cryptocurrency to the following wallet addresses:c4473f3d60ebc2c48ee00ac4a7dd44a19e5f131c596cac047d1bae081514099cDTLcykDRKbgQ8AKsnnnKP9WwZuVD1sFAanDKFXeqPcv4s8nFB4pZxjfu2hwjV8LkwXNzDTLcykDRKbgQ8AKsnnnKP9WwZuVD1sFAanThe second victim reports that they clicked on the link found in a YouTube video and decided to invest on fraudulent platform, https://xai-network.com/home/. The victim sent 2,300 XRP tokens to https://xai-network.com/home/ to swap for the “xAI token” as part of the presale. After sending the XRP tokens and communicating with “customer service”, the victim reports not receiving the “xAI tokens” in return. The platform is no longer available.The above sites are not affiliated with the company, xAI.",Fraudulent Trading PlatformRug Pull Scam,official-xai.comhttps://xai-network.com/home/
cointrust1.cc,"A California consumer reports about their experience using the crypto asset trading platform Cointrust.cc operating at https://cointrust1.cc/. After making two deposits to the platform in crypto, the resident was then unable to access or withdraw their funds from the platform.  The website is no longer operational. All told, the resident lost more than $2,400. The resident reports sending ETH to 0x33efb1efc0faeda19003fb4e73e7bc7b8d0c807a.",Fraudulent Trading Platform,https://cointrust1.cc/
oslvsap.vip,"A California resident reports they were approached online by someone who eventually introduced them to the crypto asset trading platform OSL operating at www.oslvsap.vip. The online friend told the victim they could make large profits on the platform. The victim started with a small investment. Over time, the online friend encouraged the victim to deposit more money on the platform, and at one point, believed their account had grown to more than $140,000. But when the victim tried to withdraw funds, the platform demanded they pay a “20% management fee”. After paying the fee, which amounted to $25,000, the platform demanded they pay an additional $21,000 under the guise of some sort of verification fee. The victim has been unable to recover any funds from the platform, which is no longer operational. All told, the victim lost more than $90,000.",Fraudulent Trading PlatformPig Butchering Scam,https://www.oslvsap.vip
web.bitfarms.top,"A California resident reported their experience with the crypto asset trading platform Bitfarms operating at https://web.bitfarms.top. After depositing funds on the platform, the victim was able to engage in several successful transactions. But when they tried to withdraw funds, the platform demanded they pay a “mining fee”. The victim paid, but then the platform demanded they pay a “tax bill.” The victim has been unable to withdraw their funds from the platform, which is no longer operational.",Fraudulent Trading Platform,https://web.bitfarms.top/#/
invescoin.com,"A California consumer reports about their experience with an online crypto asset trading platform operating at Invescoin.com. The consumer opened an account on the platform, deposited funds, and the platform appeared to show that the victim earned significant profits. But when the victim tried to withdraw their funds, Invescoin did not respond.The consumer has not recovered any funds. The website is no longer in operation. All told, they lost more than over $159,000.",Fraudulent Trading Platform,https://www.invescoin.com/#/home
firepin.io,"A California consumer reports about their experience with the crypto asset platform operating at firepin.io. The consumer was led to believe they could purchase a new crypto asset token before it went public. The consumer deposited funds on firepin.io to purchase the token but later requested a refund and received no response. The consumer has not recovered any funds, and the website is no longer operational.",Rug Pull Scam,https://firepin.io
ycbit.com,"A California resident reports being contacted via LinkedIn and Whatsapp by an individual claiming they could make quick, profitable investments using the crypto asset trading platform YCBIT operating on the website ycbit.com. The resident created and funded an account on the platform and after trading there, believed their account had grown in value. But when the resident tried to withdraw funds, the website demanded multiple payments including a deposit equal to 10% of the withdrawal amount, another deposit equal to 15% of the total balance of the account to confirm identity, and another deposit equal to the total amount in the account, before it would allow a withdrawal. The resident has not recovered any funds and the website is no longer active.",Fraudulent Trading PlatformPig Butchering Scam,ycbit.com
kakucoin.com(Entity Impersonating KuCoin.com),"A California resident reports on their experience with the crypto asset trading platform operating on the website kakucoin.com. After creating and funding an account on the platform, the resident believed his account was growing in value. But when the victim tried to make a withdrawal, the site demanded they deposit additional funds first. The victim did so, but was still unable to withdraw funds. The resident has not recovered any funds and the website is no longer active.This is not to confused with legitimate exchange, KuCoin.com.",Fraudulent Trading PlatformPig Butchering Scam,kakucoin.com
ETF Swap Presale,"Multiple California residents report on their experience with a crypto asset venture operating on the website etfswappresale.com. They report the site offered initial coin offerings (ICO’s). But after they deposited funds on the website to invest in the ICO’s, they didn’t get the coins, nor could they get their money back. One victim reported that all their crypto assets were transferred out of their crypto wallet after they clicked on a related website, etfswappresale.live. Neither of the websites are currently active.",Crypto Wallet Drainer Attack,etfswappresale.cometfswappresale.live
stocks-finance.com,"A California victim reports on their experience with the crypto asset trading platform operating at stocks-finance.com. After trading on the site, and believing they had made profits, the victim tried to make a withdrawal from their account for an emergency. The platform's customer service first advised the customer to wait a day, then told them their account had been closed or switched to a different crypto account, and then their account balance suddenly showed a negative balance. The victim has been unable to withdraw their funds and the website is not operational.",Fraudulent Trading Platform,stocks-finance.com
2bridgeio.com,"A California residents reports meeting “Dylan” on a dating app who suggested they move their conversations to WhatsApp. At some point, Dylan brought up the topic of investing in crypto assets. Dylan convinced the victim to open an account on the trading platform operating at 2bridgeio.com and sell some of their other investments to transfer funds onto that platform. The victim deposited funds on 2bridgeio.com and attempted to withdraw, but has been unable to recover any of their funds.  Thewebsite is no longer operational. All told the victim lost more than $550,000 on the platform.",Fraudulent Trading PlatformPig Butchering Scam,http://2bridgeio.com/
